Image	Linear/Radius 1.0f/Quality 1.0f	Linear/Radius 1.0f/Quality 0.8f	Linear/Radius 1.0f/Quality 0.6f	Linear/Radius 0.8f/Quality 1.0f	Linear/Radius 0.6f/Quality 1.0f	Fov/Radius 1.0f/Quality 1.0f	Fov/Radius 1.0f/Quality 0.8f	Fov/Radius 1.0f/Quality 0.6f	Fov/Radius 0.8f/Quality 1.0f	Fov/Radius 0.6f/Quality 1.0f	Normal JPEG
artificial.png	2269944	1920472	1627208	2100144	1820800	1581560	1325856	1116336	1398464	1283176	3743008
big_building.png	3924784	3098264	2469936	3551784	2966208	2629832	1954144	1508688	2246864	1946928	7420784
big_tree.png	4446864	3524744	2757256	3981528	3229952	2740288	2086816	1621056	2349960	2048984	8466352
deer.png	1944904	1373040	1044976	1707800	1434216	1435776	1046856	842120	1190416	994736	4546432
fireworks.png	1740160	1415920	1211328	1645056	1510456	1584040	1223496	1034136	1398952	1203688	2647648
flower_foveon.png	1401720	1148656	975592	1315416	1199688	1169784	942168	810128	1035264	910864	2231952
hdr.png	1659776	1330456	1094048	1513000	1295224	1222344	959104	802584	1078416	958296	3064184
leaves_iso_1600.png	5875464	4813592	3926936	5359920	4498520	3899832	3049992	2407904	3425192	3045864	10117888
nightshot_iso_1600.png	3291680	2509256	1883936	2918456	2344336	1994096	1450408	1122512	1638696	1366680	6483920
spider_web.png	1510968	1214744	1016072	1393768	1222848	1188416	923520	779064	1040640	915336	2822784
